Date,Price,diff_1
2015-02-13,3.41,0.0
2015-02-16,3.41,0.0
2015-02-17,3.41,0.0
2015-02-18,3.41,0.0
2015-02-19,3.465,0.054999999999999716
2015-02-20,3.48,0.015000000000000124
2015-02-23,3.485,0.004999999999999893
2015-02-24,3.485,0.0
2015-02-25,3.465,-0.020000000000000018
2015-02-26,3.485,0.020000000000000018
2015-02-27,3.5,0.015000000000000124
2015-03-02,3.5,0.0
2015-03-03,3.5,0.0
2015-03-04,3.515,0.015000000000000124
2015-03-05,3.515,0.0
2015-03-06,3.55,0.0349999999999997
2015-03-09,3.545,-0.004999999999999893
2015-03-10,3.555,0.010000000000000231
2015-03-11,3.565,0.009999999999999787
2015-03-12,3.6,0.03500000000000014
2015-03-13,3.61,0.009999999999999787
2015-03-16,3.62,0.010000000000000231
2015-03-17,3.67,0.04999999999999982
2015-03-18,3.5825,-0.08749999999999991
2015-03-19,3.63,0.047499999999999876
2015-03-20,3.75,0.1200000000000001
2015-03-23,3.75,0.0
2015-03-24,3.8,0.04999999999999982
2015-03-25,3.8,0.0
2015-03-26,3.8,0.0
2015-03-27,3.8,0.0
2015-03-30,3.83,0.03000000000000025
2015-03-31,3.83,0.0
2015-04-01,3.83,0.0
2015-04-02,3.835,0.004999999999999893
2015-04-03,3.835,0.0
2015-04-06,3.835,0.0
2015-04-07,3.83,-0.004999999999999893
2015-04-08,3.82,-0.010000000000000231
2015-04-09,3.82,0.0
2015-04-10,3.825,0.0050000000000003375
2015-04-13,3.825,0.0
2015-04-14,3.835,0.009999999999999787
2015-04-15,3.845,0.010000000000000231
2015-04-16,3.845,0.0
2015-04-17,3.8369999999999997,-0.008000000000000451
2015-04-20,3.845,0.008000000000000451
2015-04-21,3.845,0.0
2015-04-22,3.845,0.0
2015-04-23,3.85,0.004999999999999893
2015-04-24,3.85,0.0
2015-04-27,3.85,0.0
2015-04-28,3.85,0.0
2015-04-29,3.85,0.0
2015-04-30,3.85,0.0
2015-05-01,3.85,0.0
2015-05-04,3.855,0.004999999999999893
2015-05-05,3.873,0.018000000000000238
2015-05-06,3.865,-0.008000000000000007
2015-05-07,3.865,0.0
2015-05-08,3.885,0.019999999999999574
2015-05-11,3.8875,0.002500000000000391
2015-05-12,3.9160000000000004,0.028500000000000192
2015-05-13,3.955,0.0389999999999997
2015-05-14,3.955,0.0
2015-05-15,3.955,0.0
2015-05-18,4.005,0.04999999999999982
2015-05-19,4.02,0.01499999999999968
2015-05-20,4.02,0.0
2015-05-21,4.03,0.010000000000000675
2015-05-22,4.01,-0.020000000000000462
2015-05-25,4.05,0.040000000000000036
2015-05-26,4.05,0.0
2015-05-27,4.07,0.020000000000000462
2015-05-28,4.07,0.0
2015-05-29,4.07,0.0
2015-06-01,4.09,0.019999999999999574
2015-06-02,4.12,0.03000000000000025
2015-06-03,4.125,0.004999999999999893
2015-06-04,4.175,0.04999999999999982
2015-06-05,4.13,-0.04499999999999993
