Date,true-y,linear,rbf,poly
2019-05-02,5.1527,5.153169519583331,5.151114442127757,5.147784090078576
2019-05-03,5.185,5.183342339562879,5.182145192282291,5.174877969756797
2019-05-06,5.13,5.143810154231087,5.141340671115926,5.139577443177837
2019-05-07,5.14,5.1503748654168255,5.149380416429344,5.140368818815849
2019-05-08,5.135,5.126383499647387,5.124348633114388,5.119511208714632
2019-05-09,5.15,5.142891431582681,5.141267679700466,5.134771794757688
2019-05-10,5.2034,5.182088500053793,5.180999947178716,5.1747369535856205
2019-05-13,5.2305,5.2190439784280045,5.217867203504468,5.2152011859560465
2019-05-14,5.2253,5.239738315969703,5.237857516662852,5.236409307667755
2019-05-15,5.157,5.1955162496893275,5.1927644189916125,5.192087187022733
2019-05-16,5.2375,5.226168735060545,5.225828487255773,5.216885290931774
2019-05-17,5.22,5.203805223093924,5.202106211326854,5.203855780163931
2019-05-20,5.2533,5.256073881139432,5.25458118236634,5.250811229791488
2019-05-21,5.2432,5.244798507597171,5.242442277190995,5.243294317863239
2019-05-22,5.215,5.233606160935876,5.231067094194735,5.23029746485052
2019-05-23,5.2229,5.224503326649459,5.222517728862462,5.219279456526626
2019-05-24,5.2932,5.262109431386791,5.260766607330274,5.257609153845137
2019-05-27,5.25,5.2530680595228025,5.250806568722399,5.254093770057752
2019-05-28,5.363,5.345703702772203,5.345560911955667,5.3391588648113935
2019-05-29,5.295,5.301834297013063,5.300700631017288,5.307217904797129
2019-05-30,5.3878,5.390027448091903,5.389680740013752,5.3844364630607116
2019-05-31,5.4294,5.402386419433664,5.4015298169674715,5.407005098832119
2019-06-03,5.3426,5.385230366143642,5.381629236695859,5.390433609540291
2019-06-04,5.3752,5.39272528480542,5.391547173777124,5.389280273291351
2019-06-05,5.3456,5.337940334618819,5.334544734381676,5.340835957509702
2019-06-06,5.35,5.34847076290839,5.345924333474803,5.346798021523594
2019-06-07,5.36,5.343957635120074,5.34119803298195,5.343133194854831
2019-06-10,5.3686,5.355827384310976,5.353166348803913,5.354847684656293
2019-06-11,5.3925,5.378641993299359,5.376300872107522,5.377217406892119
2019-06-12,5.365,5.368080452875542,5.3650893153023524,5.368262914617917
2019-06-13,5.4145,5.403141152258531,5.401478501270319,5.399401475918861
2019-06-14,5.3852,5.381285431112618,5.378468509993146,5.382830837403579
2019-06-17,5.3903,5.396958199804675,5.394741952634289,5.393843530626085
2019-06-18,5.435,5.413436196655748,5.411428773204312,5.411344645799625
2019-06-19,5.434,5.424778797559062,5.422316930355826,5.425801709863516
2019-06-20,5.3914,5.411295105757768,5.408220805454133,5.410817252289076
2019-06-21,5.4189,5.415282546038962,5.413453901367331,5.411127604073235
2019-06-24,5.4136,5.3996484902935,5.396881715034042,5.399203149249109
2019-06-25,5.4626,5.444362568456194,5.4425529436554205,5.441366061102391
2019-06-26,5.4675,5.455582812968651,5.45329659793299,5.456538797851679
2019-06-27,5.44,5.4554084347308365,5.452517167793155,5.455044283629713
2019-06-28,5.43,5.439035872803496,5.436561331937267,5.436498741440347
2019-07-01,5.4512,5.437611413307536,5.435276485396864,5.434961736279634
2019-07-02,5.4014,5.405558583349225,5.402362636570908,5.405144494219196
2019-07-03,5.425,5.4197306231993725,5.4181133901912295,5.413778446126769
2019-07-04,5.395,5.385709773636439,5.3828310267923,5.38365225112285
2019-07-05,5.41,5.402423882806041,5.400548933786345,5.396296099330109
2019-07-08,5.4161,5.399809198170713,5.397501431267008,5.395751513206887
2019-07-09,5.4126,5.407826673724413,5.405528363435971,5.403390950554236
2019-07-10,5.3877,5.393132365371682,5.390681148767048,5.3883853759712315
2019-07-11,5.35,5.360688081761668,5.358447925500342,5.354443628918054
2019-07-12,5.335,5.333670709925885,5.331926971718644,5.325354606869036
2019-07-15,5.365,5.340293728448533,5.338702151231446,5.331532979243659
2019-07-16,5.35,5.337458561396845,5.33534038487835,5.331455965773537
2019-07-17,5.3501,5.350431675538536,5.348752218380412,5.341865040706168
2019-07-18,5.3416,5.339650736272612,5.337729001076885,5.331942689230503
2019-07-19,5.3584,5.351006620431903,5.349462690786035,5.342485618924349
2019-07-22,5.39,5.3742632907819425,5.372833524531513,5.367198589086668
2019-07-23,5.3788,5.3812181441533715,5.379265672521378,5.37634375555576
2019-07-24,5.405,5.406932899646513,5.405530973608659,5.399974371289109
2019-07-25,5.3152,5.343747843684223,5.340884685450328,5.340787586965196
2019-07-26,5.37,5.369025774972285,5.369007510912749,5.357305883349541
2019-07-29,5.3751,5.348904604348407,5.347078957130631,5.345128464964623
2019-07-30,5.3975,5.3920763426672575,5.3904484932448025,5.385886624204785
